id,name,city,state,lon,lat
808,"Tri County Medical Clinic","STUART","NE",-0099.142601,+0042.599171
809,"Veterans Hospital","OMAHA","IA",-0095.974182,+0041.242779
810,"Western Hearing Clinic","GERING","NE",-0103.666328,+0041.888027
811,"Huggins Hospital","BRIDGEWATER","NH",-0071.202843,+0043.581749
812,"All Souls Hospital","AIRMONT","NJ",-0074.490166,+0040.789268
813,"Bergen Pines County Hospital","BERGENFIELD","NJ",-0074.063194,+0040.956768
814,"Community Memorial Hospital","EDINBURG","NJ",-0074.215981,+0039.963730
815,"Greystone Park State Hospital","GREENWOOD LAKE","NJ",-0074.505165,+0040.834820
816,"Mercer Hospital","SAND BROOK","PA",-0074.777931,+0040.230938
817,"North Hudson Hospital","BATTERY PARK","NJ",-0074.019028,+0040.775932
818,"Roosevelt Hospital","CLARK","NJ",-0074.336815,+0040.551495
819,"Saint Peters Hospital","BATTERY PARK","NJ",-0074.459038,+0040.501213
820,"Underwood Hospital","ALLOWAY","PA",-0075.149338,+0039.843445
821,"Alliance Hospital of Santa Teresa","CANUTILLO","NM",-0106.636383,+0031.862885
822,"Carrizoza Health Center","CARRIZOZO","NM",-0105.877213,+0033.641743
823,"Cottage Sanatorium","SILVER CITY","NM",-0108.293930,+0032.807011
824,"Eastern New Mexico Medical Center","ROSWELL","NM",-0104.528305,+0033.424271
825,"Fort Bayard State Medical Center","BAYARD","NM",-0108.150604,+0032.794247
826,"Health Centers of Northern New Mex Embudo Clinic","DIXON","NM",-0105.961143,+0036.207523
827,"Health Centers of Northern New Mexico Espanola Clinic","ESPANOLA","NM",-0106.080582,+0035.991135
828,"Health centers of Northern New Mex Las Vegas Clinic","LAS VEGAS","NM",-0105.242233,+0035.608372
829,"Holy Cross Sanitorium (historical)","DEMING","NM",-0107.808914,+0032.275089
830,"Kaseman Presbyterian Hospital","ALBUQUERQUE","NM",-0106.651138,+0035.084484
831,"Lincoln County Medical Center","ALTO","NM",-0105.673042,+0033.331753
832,"Mesilla Valley Hospital","DONA ANA","NM",-0106.772224,+0032.358421
833,"New Mexico Rehabilitation Center","LAS VEGAS","NM",-0105.242233,+0035.608372
834,"Pinon Hills Hospital","AGUA FRIA","NM",-0105.963081,+0035.683361
835,"Roosevelt General Hospital","PORTALES","NM",-0103.334404,+0034.186192
836,"Saint Marys Hospital","ROSWELL","NM",-0104.522194,+0033.375931
837,"St Joseph Northeast Heights General Hospital","ALAMEDA","NM",-0106.593643,+0035.132267
838,"Carson-Tahoe Hospital","CARSON CITY","NV",-0119.771843,+0039.171299
839,"Mount Grant General Hospital","HAWTHORNE","NV",-0118.627640,+0038.516865
840,"Southern Memorial Hospital","DOWNTOWN LAS VEGAS","NV",-0115.167221,+0036.159409
841,"Adams Hospital","GOWANDA","NY",-0078.998924,+0042.448669
842,"Bayley Seton Hospital","BAY RIDGE","NJ",-0074.075417,+0040.622322
843,"Booth Memorial Hospital","BUFFALO","NY",-0078.854759,+0042.895058
844,"Brooklyn Hospital","BATTERY PARK","NY",-0073.977913,+0040.690662
845,"Chenango Hospital","NORWICH","NY",-0075.525734,+0042.541744
846,"Convalescent Hospital for Children","SCOTTSVILLE","NY",-0077.702782,+0043.080063
847,"De Graff Memorial Hospital","NORTH TONAWANDA","NY",-0078.862534,+0043.025616
848,"Edward Meyer Memorial Hospital","BUFFALO","NY",-0078.831429,+0042.927277
849,"Fox Hospital","NORTH FRANKLIN","NY",-0075.052940,+0042.457581
850,"Genesee Memorial Hospital","BATAVIA","NY",-0078.176407,+0043.005062
851,"Grasslands Hospital","BRIARCLIFF MANOR","CT",-0073.806252,+0041.085926
852,"High Point Hospital","HARRISON","CT",-0073.693741,+0041.053425
853,"Hudson River State Hospital","HIGHLAND","NY",-0073.903191,+0041.737034
854,"Kings County Hospital","BATTERY PARK","NY",-0073.944580,+0040.656494
855,"Letchworth Village State Mental Institution","HAVERSTRAW","NY",-0074.028755,+0041.209534
856,"Long Island Doctors Hospital","BROOKVILLE","NY",-0073.645683,+0040.792599
857,"Marshall Hospital","COHOES","NY",-0073.678177,+0042.718971
858,"Memorial Hospital","NIAGARA FALLS","NY",-0079.049767,+0043.093948
859,"Methodist Hospital","BATTERY PARK","NY",-0073.978752,+0040.667885
860,"Mount Morris Hospital","LEICESTER","NY",-0077.883339,+0042.732281
861,"Newton Memorial Hospital","CASSADAGA","NY",-0079.334763,+0042.353386
863,"Physicians Hospital","MOTT HAVEN","NJ",-0073.892914,+0040.752602
864,"Queens General Hospital","BELLEROSE","NY",-0073.804581,+0040.718163
865,"Saint Agnes Hospital","ELMSFORD","CT",-0073.745682,+0041.025928
866,"Saint Elizabeth Hospital","CHADWICKS","NY",-0075.265999,+0043.082287
867,"Saint Francis Hospital","ALLEGANY","NY",-0078.455849,+0042.076736
868,"Saint Johns Hospital","COMMACK","NY",-0073.223167,+0040.868160
869,"Saint Lawrence State Hospital","OGDENSBURG","NY",-0075.446602,+0044.728123
870,"Saint Marys Hospital","THROGS NECK BRIDGE","NY",-0073.768471,+0040.776493
871,"Saint Vincents Hospital","BATTERY PARK","NJ",-0073.999863,+0040.736774
872,"Smithtown General Hospital","BRENTWOOD","NY",-0073.199554,+0040.830658
873,"Summit Park Sanatorium","BARDONIA","NY",-0074.041809,+0041.158985
874,"Union Hospital","CO-OP CITY","NY",-0073.895691,+0040.860661
875,"Vassar Brothers Hospital","HIGHLAND","NY",-0073.935692,+0041.695095
876,"Wilson Hospital","BINGHAMTON","NY",-0075.959084,+0042.113968
877,"Apple Creek State Hospital","APPLE CREEK","OH",-0081.836250,+0040.765617
878,"Barnesville Medical Center","BARNESVILLE","OH",-0081.190109,+0039.993130
879,"Berger Hospital","CIRCLEVILLE","OH",-0082.937401,+0039.610062
880,"Bluffton Community Hospital","BLUFFTON","OH",-0083.897438,+0040.887272
881,"Brentwood Hospital","BEACHWOOD","OH",-0081.537064,+0041.447552
882,"Childrens Hospital","AKRON","OH",-0081.525398,+0041.079498
883,"Cincinnati General Hospital","CINCINNATI","OH",-0084.503838,+0039.138123
884,"Cleveland Clinic","BRATENAHL","OH",-0081.622345,+0041.502274
885,"Clinic Hospital","BRATENAHL","OH",-0081.622345,+0041.502274
886,"Community Hospital of Warren","BOLINDALE","OH",-0080.827309,+0041.247559
887,"Crestline Memorial Hospital","CRESTLINE","OH",-0082.739067,+0040.791996
888,"Deaconess Hospital","BROOKLYN","OH",-0081.705414,+0041.440613
889,"Dunham Hospital","BRIDGETOWN NORTH","OH",-0084.588837,+0039.124226
890,"Epp Hospital","AMBERLEY","OH",-0084.380501,+0039.205616
891,"Fallsview Psychiatric Hospital","AKRON","OH",-0081.477058,+0041.132557
892,"Fort Hamilton-Hughes Memorial Hospital Center","HAMILTON","OH",-0084.572449,+0039.415886
893,"Gates Hospital","ELYRIA","OH",-0082.096809,+0041.366714
894,"Good Samaritan Hospital","NORTH ZANESVILLE","OH",-0082.012924,+0039.954788
895,"Grant Hospital","BEXLEY","OH",-0082.991852,+0039.960625
896,"Hardin Memorial Hospital","KENTON","OH",-0083.596039,+0040.646442
897,"Hillside Rehabilitation Hospital","BOLINDALE","OH",-0080.732582,+0041.250336
898,"Hudson Medical Center","ATHENS","OH",-0082.099312,+0039.328133
899,"Joel Pomerene Hospital","HOLMESVILLE","OH",-0081.920143,+0040.565060
900,"Lake County Hospital","MAYFIELD","OH",-0081.433167,+0041.625610
901,"Lakeland Institute","AMHERST","OH",-0082.242378,+0041.437542
902,"Lima Memorial Hospital","FORT SHAWNEE","OH",-0084.085777,+0040.735878
903,"Lorain Community Hospital","AMHERST","OH",-0082.237656,+0041.436153
904,"Marine Hospital","BRATENAHL","OH",-0081.598175,+0041.492275
905,"Massillon State Hospital","MASSILLON","OH",-0081.505119,+0040.766167
906,"Memorial Hospital","FAIRVIEW LANES","OH",-0082.711845,+0041.435879
907,"Mercy Hospital","CANTON","OH",-0081.374275,+0040.804226
908,"Mercycrest Hospital","LAWRENCEVILLE","OH",-0083.811043,+0039.941452
909,"Mount Carmel Hospital East","BEXLEY","OH",-0082.842682,+0039.977283
910,"Newark Hospital","HEATH","OH",-0082.392654,+0040.062843
911,"O'Connell Unit Good Samaritan Hospital","CINCINNATI","OH",-0084.520508,+0039.135342
912,"Our Lady of Mercy Hospital","MOUNT CARMEL","OH",-0084.348549,+0039.085621
913,"Polyclinic Hospital","BRATENAHL","OH",-0081.644020,+0041.501160
914,"Receiving Hospital","CINCINNATI","OH",-0084.501884,+0039.134232
915,"Robinson Memorial Hospital","BRADY LAKE","OH",-0081.244263,+0041.152557
916,"Saint Alexis Medical Center","BROOKLYN HEIGHTS","OH",-0081.654846,+0041.470055
917,"Saint Elizabeths Hospital","DAYTON","OH",-0084.200500,+0039.748116
918,"Saint Johns Hospital","FOLLANSBEE","WV",-0080.658409,+0040.367847
919,"Saint Josephs Infant Home and Maternity Hospital","AMBERLEY","OH",-0084.469658,+0039.165886
920,"Saint Vincents Hospital","CLEVELAND","OH",-0081.674026,+0041.496719
921,"Scioto Memorial Hospital","NEW BOSTON","OH",-0082.978226,+0038.752857
922,"Southern Hills Hospital","NEW BOSTON","OH",-0082.997116,+0038.737015
923,"Stouder Memorial Hospital","CASSTOWN","OH",-0084.218834,+0040.033943
924,"Toledo Hospital","OTTAWA HILLS","OH",-0083.594933,+0041.671989
925,"Twin Maples Sanitarium","HILLS AND DALES","OH",-0081.514282,+0040.798668
926,"Walnut Hills-Evanston Medical Center","CINCINNATI","OH",-0084.476051,+0039.133121
927,"Wood County Hospital","BOWLING GREEN","OH",-0083.665764,+0041.375332
928,"Wyandot Memorial Hospital","UPPER SANDUSKY","OH",-0083.279922,+0040.840618
929,"County Hospital","WAURIKA","OK",-0097.978096,+0034.156483
930,"Griffin Memorial Hospital Annex","TINKER AIR FORCE BASE","OK",-0097.214478,+0035.016182
931,"Mission Hill Hospital","SHAWNEE","OK",-0096.927521,+0035.297291
932,"Saint Johns Hospital","TULSA","OK",-0095.965553,+0036.134266
933,"Western Oklahoma Hospital","FORT SUPPLY","OK",-0099.549561,+0036.597534
934,"Columbia District Hospital","COLUMBIA CITY","WA",-0122.820656,+0045.863728
935,"Eastern Oregon State Hospital","PENDLETON","OR",-0118.816658,+0045.671242
936,"Holladay Park Hospital (historical)","LLOYD CENTER","WA",-0122.663704,+0045.531780
937,"Leban Hospital","LEBANON","OR",-0122.907310,+0044.551235
938,"McKenzie-Willamette Hospital","GOSHEN","OR",-0123.003975,+0044.053177
939,"Mount Tabor Hospital","HAPPY VALLEY","WA",-0122.588707,+0045.505119
940,"Pioneer Hospital","HEPPNER","OR",-0119.547516,+0045.355682
941,"Saint Anthony Hospital","MISSION","OR",-0118.769432,+0045.673462
942,"Tualaty Hospital","CORNELIUS","OR",-0122.978714,+0045.519840
943,"Agnew Hospital","AVALON","PA",-0080.112282,+0040.515900
944,"Allentown State Hospital","LEHIGH UNIVERSITY","PA",-0075.429344,+0040.615101
945,"Berwick Hospital","BERWICK","PA",-0076.231323,+0041.070362
946,"Burn Brae Hospital","PHILADELPHIA INTERNATIONAL ARPT","PA",-0075.302963,+0039.926502
947,"Chestnut Hill Hospital","GERMANTOWN","PA",-0075.211288,+0040.079281
948,"Coatesville Veterans Hospital","ADAMSTOWN","PA",-0075.791344,+0040.001778
949,"Du Bois Regional Medical Center","DUBOIS","PA",-0078.775040,+0041.114780
950,"Embreeville State Hospital","MARSHALLTON","PA",-0075.726334,+0039.946217
951,"Eye And Ear Hospital","ASPINWALL","PA",-0079.959213,+0040.442848
952,"Grandview Hospital","HARMONY","PA",-0075.326286,+0040.363434
953,"Hazleton General Hospital","MCADOO","PA",-0075.962151,+0040.948143
954,"Holy Spirit Hospital","CAMP HILL","PA",-0076.921638,+0040.253696
955,"Lakeview Hospital","ERIE","PA",-0080.066452,+0042.140339
956,"Lawrence Flick State Hospital","TUNNELHILL","PA",-0078.559738,+0040.447014
957,"Memorial Hospital","UNION CITY","PA",-0079.845329,+0041.906166
958,"Mercy Hospital","ALTOONA","PA",-0078.408905,+0040.500629
959,"Montefiore Hospital","ASPINWALL","PA",-0079.961708,+0040.440350
960,"Nesbitt Memorial Hospital","ASHLEY","PA",-0075.888809,+0041.269798
961,"Oxford Hospital","PHILADELPHIA","PA",-0075.089615,+0040.052891
962,"Philadelphia Osteopathic Hospital","PHILADELPHIA","PA",-0075.212959,+0040.003441
963,"Protestant Home","PHILADELPHIA","PA",-0075.089615,+0040.040112
964,"Robert Packer Hospital","LITCHFIELD","NY",-0076.519661,+0041.980354
965,"Saint Christophers Hospital","PHILADELPHIA","PA",-0075.139618,+0039.990669
966,"Saint Josephs Hospital","MCADOO","PA",-0075.974648,+0040.964523
967,"Saint Vincents Hospital","ERIE","PA",-0080.078667,+0042.111446
968,"South Mountain Restoration Center","MONT ALTO","PA",-0077.492210,+0039.846203
969,"Stetson Hospital","PHILADELPHIA","PA",-0075.141006,+0039.977333
970,"United States Veterans Hospital","ADAMSTOWN","PA",-0075.791344,+0040.001778
971,"West Park Hospital","PHILADELPHIA","PA",-0075.208519,+0039.999836
972,"York Hospital","EMIGSVILLE","PA",-0076.718018,+0039.946770
973,"Women and Infants Hospital of Rhode Island","CENTRAL FALLS","MA",-0071.433395,+0041.836491
974,"Allendale County Hospital","ALLENDALE","SC",-0081.248726,+0032.965992
975,"Barnwell County Hospital","BARNWELL","SC",-0081.361221,+0033.255432
976,"Byerly Hospital","HARTSVILLE","SC",-0080.066460,+0034.375984
977,"Chester County Hospital","CHESTER","SC",-0081.182869,+0034.684311
978,"Crafts-Farrow State Hospital","ARCADIA LAKES","SC",-0080.981201,+0034.079044
979,"Elliott Springs Memorial Hospital","ELGIN","NC",-0080.787857,+0034.717930
980,"Georgetown Memorial Hospital","GEORGETOWN","SC",-0079.283661,+0033.379887
981,"Greenwood Hospital (historical)","GREENWOOD","SC",-0082.157906,+0034.180950
982,"Johnson Hospital","JOHNSONVILLE","SC",-0079.447838,+0033.749889
983,"Lexington Medical Center","COLUMBIA","SC",-0081.113708,+0034.005714
984,"Marine Hospital (historical)","BATTERY POINT","SC",-0079.937309,+0032.777954
985,"McClendon Medical Center","ARCADIA LAKES","SC",-0080.979813,+0034.075714
986,"Moncrief Hospital","ARCADIA LAKES","SC",-0080.938141,+0034.012096
987,"Orangeburg-Calhoun Regional Hospital","BROOKDALE","SC",-0080.830650,+0033.540154
988,"Providence Hospital","ARCADIA LAKES","SC",-0081.012878,+0034.013767
989,"Saint Francis Hospital","BEREA","SC",-0082.420959,+0034.840118
990,"South Carolina State Hospital","ARCADIA LAKES","SC",-0081.030380,+0034.018215
991,"Tri-County Hospital (historical)","BROOKDALE","SC",-0080.867874,+0033.501541
992,"Williamsburg County Memorial Hospital","KINGSTREE","SC",-0079.818687,+0033.659885
993,"Rapid City Regional Hospital","RAPID VALLEY","SD",-0103.218239,+0044.056660
994,"Sioux Valley Hospital","SIOUX FALLS","SD",-0096.742828,+0043.535534
995,"Baptist Hospital East (historical)","GERMANTOWN","TN",-0089.861191,+0035.132313
996,"Bedford County Hospital","SHELBYVILLE","TN",-0086.471931,+0035.493683
997,"Bradley County Nursing Home","CLEVELAND","TN",-0084.869949,+0035.190353
998,"Chamberlain Memorial Hospital","ROCKWOOD","TN",-0084.690765,+0035.865631
999,"Cleveland Community Hospital","CLEVELAND","TN",-0084.882164,+0035.193134
1000,"Cookeville General Hospital","ALGOOD","TN",-0085.509148,+0036.168953
1001,"Cumberland Medical Center","CROSSVILLE","TN",-0085.021622,+0035.943130
1002,"Dodson Avenue Community Health Center","CHATTANOOGA","TN",-0085.261894,+0035.049793
1003,"East Tennessee Baptist Hospital","KNOXVILLE","TN",-0083.914909,+0035.954254
1004,"Emerald-Hodgson Hospital","SEWANEE","TN",-0085.914413,+0035.208408
1005,"Fort Sanders Hospital","BEARDEN","TN",-0083.937126,+0035.957024
1006,"Greeneville Hospital","GREENEVILLE","TN",-0082.832375,+0036.164543
1007,"Haywood County Memorial Hospital","BROWNSVILLE","TN",-0089.266739,+0035.596466
1008,"Highland Hosital","PORTLAND","KY",-0086.512489,+0036.555603
1009,"Indian Path Hospital","BLOOMINGDALE","VA",-0082.514038,+0036.550385
1010,"Jesse Holman Jones Hospital","SPRINGFIELD","TN",-0086.881111,+0036.508377
1011,"Johnson City Medical Center Hospital","AVONDALE","TN",-0082.384583,+0036.307045
1012,"Knox County Health Center","KNOXVILLE","TN",-0083.927132,+0035.977585
1013,"Laughlin Memorial Hospital","GREENEVILLE","TN",-0082.828766,+0036.166214
1014,"Lewisburg Community Hospital","LEWISBURG","TN",-0086.785561,+0035.465073
1015,"Memphis Mental Health Institute","DOWNTOWN MEMPHIS","TN",-0090.032028,+0035.145092
1016,"Methodist Hospital of Lexington","LEXINGTON","TN",-0088.400047,+0035.655067
1017,"Mid-South Hospital","DOWNTOWN MEMPHIS","TN",-0090.029259,+0035.143421
1018,"Morristown-Hamblen County Hospital","MORRISTOWN","TN",-0083.304893,+0036.212872
1019,"Oak Ridge Associated University Hospital","GREENBACK","TN",-0084.247147,+0036.023411
1020,"Parkridge Hospital","CHATTANOOGA","TN",-0085.267456,+0035.034794
1021,"Regional Hospital of Jackson","BEMIS","TN",-0088.825890,+0035.654243
1022,"River Park Hospital","MCMINNVILLE","TN",-0085.740814,+0035.698399
1023,"Saint Marys Memorial Hospital","KNOXVILLE","TN",-0083.926849,+0035.992863
1024,"Sevier Medical Center","HARRISBURG","TN",-0083.539330,+0035.855091
1025,"Smith Chitwood Hospital","LAFAYETTE","TN",-0086.026375,+0036.519489
1026,"Smith County Memorial Hospital","CARTHAGE","TN",-0085.949982,+0036.263115
1027,"Smyrna Hospital","LA VERGNE","TN",-0086.510269,+0035.973675
1028,"South Pittsburg Municipal Hospital","SOUTH PITTSBURG","TN",-0085.714966,+0035.002022
1029,"Stones River Hospital","WOODBURY","TN",-0086.071663,+0035.827007
1030,"Suburban Hospital","MIDDLE VALLEY","TN",-0085.238014,+0035.137012
1031,"Sumner County Health Center","GALLATIN","TN",-0086.444435,+0036.384769
1032,"Sumner County Memorial Hospital","GALLATIN","TN",-0086.435555,+0036.390327
1033,"Sweetwater Hospital","SWEETWATER","TN",-0084.463264,+0035.600906
1034,"Taylor Dental Clinic","FORT CAMPBELL NORTH","KY",-0087.458069,+0036.629768
1035,"Tennessee Christian Medical Center","LAKEWOOD","TN",-0086.682503,+0036.254772
1036,"Tennessee Psychiatric Hospital and Research Institute","DOWNTOWN MEMPHIS","TN",-0090.032028,+0035.145092
1037,"Tennessee Tuberculosis Hospital","CHATTANOOGA","TN",-0085.258568,+0035.044792
1038,"Tipton County Health Center","COVINGTON","TN",-0089.645905,+0035.562019
1039,"Trinity Hospital","ERIN","TN",-0087.688904,+0036.319775
1040,"Unicoi County Memorial Hospital","EMBREEVILLE","TN",-0082.412926,+0036.133438
1041,"United States Marine Hospital","DOWNTOWN MEMPHIS","TN",-0090.074265,+0035.123421
1042,"University Hospital","BEARDEN","TN",-0083.943237,+0035.940643
1043,"University Medical Center Hospital","LEBANON","TN",-0086.273880,+0036.195332
1044,"University of Tennessee Medical Center","DOWNTOWN MEMPHIS","TN",-0090.031761,+0035.138981
1045,"Uplands General Hospital (historical)","PLEASANT HILL","TN",-0085.202751,+0035.976456
1046,"Valley Psychiatric Hospital","COLLEGEDALE","TN",-0085.121895,+0035.027016
1047,"Van Vleet Memorial Cancer Center","DOWNTOWN MEMPHIS","TN",-0090.033699,+0035.140923
1048,"Warren County General Hospital","MCMINNVILLE","TN",-0085.743042,+0035.700069
1049,"Watauga Area Mental Health Center","ELIZABETHTON","TN",-0082.219574,+0036.347046
1050,"Waverly Hospital","WAVERLY","TN",-0087.792244,+0036.075890
1051,"Wayne County General Hospital","WAYNESBORO","TN",-0087.756966,+0035.324516
1052,"Weathers Hospital","LORETTO","TN",-0087.440849,+0035.079250
1053,"West Tennessee Tuberculosis Hospital (historical)","DOWNTOWN MEMPHIS","TN",-0090.031204,+0035.141762
1054,"Western Mental Health Institute","BOLIVAR","TN",-0089.026733,+0035.274803
1055,"White County Community Hospital","SPARTA","TN",-0085.459694,+0035.926456
1056,"Whitwell Medical Center","MARTIN SPRINGS","TN",-0085.514679,+0035.199512
1057,"Williamson Medical Center","FRANKLIN","TN",-0086.884171,+0035.915894
1058,"Woodridge Hospital","AVONDALE","TN",-0082.389580,+0036.307606
1059,"Woods Memorial Hospital","ETOWAH","TN",-0084.522148,+0035.344791
1060,"Abell Clinic","DOWNTOWN LUBBOCK","TX",-0101.795166,+0033.595913
1061,"Abilene State Hospital","ABILENE","TX",-0099.717308,+0032.418186
1062,"Alexander Hospital","LAWRENCE","TX",-0096.278587,+0032.737911
1063,"Allen Hospital","BURNET","TX",-0098.228088,+0030.754622
1064,"Amarillo Osteopathic Hospital","AMARILLO","TX",-0101.846855,+0035.204494
1065,"Austin State Hospital","AUSTIN","TX",-0097.736115,+0030.309925
1066,"Austin-Travis County Tuberculosis Sanatorium","ANDERSON MILL","TX",-0097.668610,+0030.282429
1067,"Baylor Hospital","DALLAS","TX",-0096.780281,+0032.789848
1068,"Bethania Hospital","SHEPPARD AFB","TX",-0098.501724,+0033.902878
1069,"Big Spring State Hospital","BIG SPRING","TX",-0101.497078,+0032.270119
1070,"Bishop Byrne Wellness Center","GROVES","TX",-0093.945457,+0029.927433
1071,"Brackenridge Hospital","AUSTIN","TX",-0097.732224,+0030.274378
1072,"Brewster Memorial Hospital","ALPINE","TX",-0103.657127,+0030.367098
1073,"Brooke Army Medical Center","ALAMO HEIGHTS","TX",-0098.448631,+0029.466621
1074,"Campbell Memorial Hospital","WEATHERFORD","TX",-0097.796700,+0032.766239
1075,"Cerebral Palsy Treatment Center","DOWNTOWN LUBBOCK","TX",-0101.851273,+0033.562305
1076,"Chambers Memorial Hospital","ANAHUAC","TX",-0094.685760,+0029.751894
1077,"Chimney Marine Hospital","EL LAGO","TX",-0094.814636,+0029.289957
1078,"City Tubercular Hospital","HOUSTON","TX",-0095.403275,+0029.758558
1079,"Collins Memorial Hospital","MCKINNEY","TX",-0096.626938,+0033.215675
1080,"Colonial Hospital","LAWRENCE","TX",-0096.281647,+0032.740131
1081,"Cook Memorial Hospital","FORT WORTH","TX",-0097.339470,+0032.747070
1082,"Coon Memorial Hospital","DALHART","TX",-0102.520470,+0036.051704
1083,"Cripple Childrens Hospital","BELLMEAD","TX",-0097.154999,+0031.558226
1084,"Darnall Army Hospital","FORT HOOD","TX",-0097.774734,+0031.131283
1085,"Doctors Hospital","GROVES","TX",-0093.922112,+0029.939104
1086,"Doctors Hospital","ALDINE","TX",-0095.384933,+0029.851336
1087,"Dolly Vinsant Hospital","SAN BENITO","TX",-0097.621658,+0026.136183
1088,"Driscoll Children Hospital","BAYSIDE","TX",-0097.386101,+0027.748367
1089,"East Texas Tuberculosis Hospital","HAWKINS","TX",-0095.213013,+0032.425709
1090,"Elmwood Sanatorium","BLUE MOUND","TX",-0097.302795,+0032.797909
1091,"Flow Hospital","DENTON","TX",-0097.146118,+0033.219559
1092,"Galveston County Memorial Hospital","LA MARQUE","TX",-0094.985489,+0029.393843
1093,"Garza Memorial Hospital","POST","TX",-0101.385422,+0033.187317
1094,"Gaston Hospital","DALLAS","TX",-0096.780281,+0032.791241
1095,"Goodnight Hospital","DOWNTOWN LUBBOCK","TX",-0101.873772,+0033.562862
1096,"Grace Hospital","BALCONES HEIGHTS","TX",-0098.528908,+0029.421904
1097,"Grandview Hospital","EDINBURG","TX",-0098.167511,+0026.288408
1098,"Green Hospital","ALAMO HEIGHTS","TX",-0098.502800,+0029.431343
1099,"Guadalupe Valley Hospital","MCQUEENEY","TX",-0097.963615,+0029.579399
1100,"Gullway General Hospital","ALDINE","TX",-0095.315773,+0029.694118
1101,"Harris Hospital","FORT WORTH","TX",-0097.339737,+0032.737068
1102,"Heights Hospital","HOUSTON","TX",-0095.404106,+0029.803556
1103,"Hendrick Memorial Hospital","ABILENE","TX",-0099.733696,+0032.472347
1104,"Hermann Hospital","BELLAIRE","TX",-0095.395775,+0029.713009
1105,"Highland General Hospital","PAMPA","TX",-0100.971260,+0035.546715
1106,"Hillcrest Memorial Hospital","BEVERLY HILLS","TX",-0097.174171,+0031.559336
1107,"Hospital in the Pines","DAINGERFIELD","TX",-0094.710770,+0032.965961
1108,"Hotel Dieu Hospital","BEAUMONT","TX",-0094.090172,+0030.072994
1109,"Jefferson Davis Hospital","HOUSTON","TX",-0095.384102,+0029.760509
1110,"Jennie Sealy Hospital","EL LAGO","TX",-0094.777420,+0029.312176
1111,"John Sealy Hospital","EL LAGO","TX",-0094.777420,+0029.311066
1112,"Jones Hospital","KNOLLWOOD","TX",-0096.624161,+0033.637886
1113,"Kersting Hospital","AMES","TX",-0094.798531,+0030.069105
1114,"Kilman Hospital","CANEY CITY","TX",-0096.014961,+0032.170151
1115,"Kimble Hospital","JUNCTION","TX",-0099.780060,+0030.497969
1116,"Laird Memorial Hospital","KILGORE","TX",-0094.867996,+0032.373764
1117,"Leggett Memorial Hospital","CLEVELAND","TX",-0095.084656,+0030.342150
1118,"Little York Hospital","ALDINE","TX",-0095.342155,+0029.871336
1119,"Magic Valley Hospital","MCALLEN","TX",-0098.210289,+0026.209791
1120,"Mainland Center Hospital","LA MARQUE","TX",-0094.986038,+0029.394123
1121,"Marys Hospital","EL LAGO","TX",-0094.775482,+0029.309677
1122,"McKnight State Sanatorium","CARLSBAD","TX",-0100.649818,+0031.611824
1123,"Medical Arts Hospital","DALLAS","TX",-0096.796669,+0032.782909
1124,"Memorials Hospital","SAN ANGELO","TX",-0100.430931,+0031.477381
1125,"Mercy Hospital","JOURDANTON","TX",-0098.535301,+0028.923582
1126,"Mercy Hospital","SLATON","TX",-0101.656265,+0033.433697
1127,"Mercy Hospital","LAREDO","TX",-0099.487823,+0027.509735
1128,"Mercy Hospital","ALDINE","TX",-0095.355217,+0029.677172
1129,"Mercy Hospital","BROWNSVILLE","TX",-0097.511093,+0025.917858
1130,"Metroplex Hospital","FORT HOOD","TX",-0097.800575,+0031.115454
1131,"Mid-City Hospital","GRAND PRAIRIE","TX",-0097.048615,+0032.732910
1132,"Mid-Jefferson Hospital","CENTRAL GARDENS","TX",-0093.986847,+0029.955774
1133,"Milroy Hospital","BRENHAM","TX",-0096.406914,+0030.166046
1134,"Mother Frances Hospital","TYLER","TX",-0095.291618,+0032.342648
1135,"Nightingale Hospital","EL CAMPO","TX",-0096.266632,+0029.201641
1136,"North Shore Hospital","CLOVERLEAF","TX",-0095.214653,+0029.771896
1137,"Northeast Baptist Hospital","ALAMO HEIGHTS","TX",-0098.428909,+0029.519951
1138,"Northwest Texas Hospital","AMARILLO","TX",-0101.860466,+0035.210335
1139,"O'Conner Clinic","PEARSALL","TX",-0099.093925,+0028.890530
1140,"Oak Crest Manor Nursing Home","MANOR","TX",-0097.619453,+0030.329927
1141,"Oak Place Hospital","HOUSTON","TX",-0095.378540,+0029.751619
1142,"Oakridge Sanitarium","ROLLINGWOOD","TX",-0097.765839,+0030.233271
1143,"Our Lady of Mount Carmel Hospital","ROLLINGWOOD","TX",-0097.756393,+0030.226320
1144,"Park Place Hospital","GROVES","TX",-0093.945450,+0029.916323
1145,"Parkland Hospital","DALLAS","TX",-0096.838066,+0032.810959
1146,"Parkview Hospital","MIDLAND","TX",-0102.071526,+0032.030403
1147,"Parkway Hospital","ALDINE","TX",-0095.401047,+0029.858835
1148,"Pasadena Bay Shore Hospital","DEER PARK","TX",-0095.183540,+0029.661339
1149,"Peoples Hospital","FLOYDADA","TX",-0101.336548,+0033.974800
1150,"Permian General Hospital","ANDREWS","TX",-0102.545433,+0032.338161
1151,"Polly Ryan Memorial Hospital","PECAN GROVE","TX",-0095.770226,+0029.576347
