id,year,text,Council_District
443,2016,FUTURE PLANNING SHOULD RESEMBLE TRADITIONAL NEIGHBORHOODS PRE WWII DISIGNS,1
444,2016,Gain control,10
445,2016,"GET ALL OF THESE WET BACKS (MEXICANS) FORM OVER THE BORDER NON ENGLISH PEOPLE OUT OF TEXAS NOW THEY ARE TAKING OVER 
USING UP ALL OF THE SERVICES THAT WERE PUT THERE FOR THE PEOPLE THAT HAS BEEN HERE NATIVE TEXANS",3
446,2016,"Get better lighting for Sprinkle Cut-Off.  Too dark, dangerous and curvy for night driving.",1
447,2016,Get control of planning & development review. It's so convoluted and customer unfriendly. Only the wealthy can navigate it.,9
448,2016,GET FLOURIDE OUT OF THE DRINKING WATER,1
449,2016,Get homeless people off the main streets and libraries.,9
450,2016,GET MASS TRANSIT,10
451,2016,GET REALLY QUALITY PEOPLE RUNNING THE SCHOOLS AND TEACHING THE KIDS,1
452,2016,GET REALLY QUALITY PEOPLE RUNNING THE SCHOOLS AND TEACHING THE KIDS,4
453,2016,"Get rid of bicycle lanes, they steal space from autos and are unsafe.",6
454,2016,GET RID OF SHORT TERM RENTALS,10
455,2016,"Get rid of the ""highway only"" restrictions of infrastructure funding and develop a workable transit plan that will give users an alternative choice to driving one's own car.",6
456,2016,GET RID OF THE AUSTIN ENERGY MONOPOLY.,3
457,2016,Get rid of the bike lanes (Braker Ln). You narrowed the lanes and made driving less safe for nothing.,7
458,2016,Get rid of the transients. It is a eye sore to the residents and the visitors.,3
459,2016,GET RID OF VAGRANTS LITTERING STREETS DOWNTOWN,9
460,2016,GET THE CITY OUT OF PROVIDING ELECRICITY,8
461,2016,Get the city's fiscal house in order.,4
462,2016,"Get the roads expanded, few will ride bikes to work in this heat. Cars is what we use, bikes for exercise.",7
463,2016,GET THE TIMING OF CITY STREET LIGHTS DOWN TO IMPROVE FLOW. BRING LYFT UBER BACK.,5
464,2016,Get the traffic moving and stop inviting more development until you have infrastructure to accommodate all these people.,10
465,2016,"Getting too expensive to live here. Both spouse and I have decent jobs, but property taxes are high and we can't afford to go downtown, etc.",5
466,2016,GIVE INCENTIVES TO MUSIC RELATED BUSINESSES INCLUDING VENUES. TAX AND RENT CONTROL INCENTIVES AS WELL AS STREAMLINING OF REGULATIONS TO USE BUSINESSES.,9
467,2016,Give long term residents a break.  Quit giving incentives for companies to move inside the city limits.,7
468,2016,Give senior citizens more reduced rates as we are in a fixed income!,1
469,2016,Give us choice in electric power.  The city has a monopoly and are spending the money on bad programs that don't reduce the cost of electricity for your customers.,8
470,2016,"Give us choices for utilities, they are currently way too expensive.",10
471,2016,"Give us light rail!!!
Give us an efficient public bus system! Buses are too few, too far between, not on efficient routes. We are drowning in horrible traffic with no relief in public transportation, or viable alternatives to bike to work. Streets are highly dangerous for bikes, and there are so few sidewalks. Speed limits in neighborhoods are too fast. 30 mph kills children and pedestrians.
The fact that there is still no light rail in this city is just a sad, sad reality.
We took the bus to see the fireworks on 4th of July. When we exited Zilker park with hordes of people at the end of the display - we found all of the bus stops closed! There was no way to get home. Bands of roving people searched for an open bus station -someone texted the bus stop and told the crowd 'It says they closed the bus routes down here because of the traffic!"" All the people howled and jeered. We couldn't believe it. Bus stops closed when we need them most. Who is in charge of this ship? We're going off course. The new Prop 1 seems like it will hardly do anything except expand roads. Depressing. We're all getting trapped in our neighborhoods. Austin has so many things to offer, but you can't get to them without driving. So people stay home.",7
472,2016,Glad Marc Ott is leaving - incompetent.,8
473,2016,Good job regulating Uber!,10
474,2016,"Gotta do something about taxes...they are out of control. I know we're a growing city and have lots of development needs so I support the road bonds, except for more bike lanes....what a waste. The level of needless regulation and meddling on things like Uber/Lyft and Home away/Airbnb boggles the mind. The conservation efforts are overblown. Lakes are full, the water department needs the revenue to cover growth. Electric Utility piggy bank has got to stop. Finally, you have to streamline the development process and the upgrade building code department.",7
475,2016,Government workers should not drive to work.  Provide public transportation to prevent traffic overflow.,2
476,2016,Great city. Hoping for a rock-star new City Manager!,7
477,2016,GREAT PLACE. TRAFFIC ISSUES.,8
478,2016,GREATER TRANSPARENCY AND MORE COMMUNITY INVOLVEMENT IN MAKING POLICY DECISIONS,4
479,2016,"Growth and progress is good, but please don't let Austin grow too fast or in ways that make it just like any other city (i.e. Houston!). Small businesses, small homes, middle and low income families are being priced out and even in the few years I've been here, I sometimes don't recognize Austin.",10
480,2016,GROWTH AND TRAFFIC. NEIGHBORHOOD INTEGRITY.,10
481,2016,GROWTH IS KILLING THE CITY I USED TO LOVE,8
482,2016,Growth is wonderful until it becomes detrimental to those within the area.  Austin must stop growing.  We cannot provide equal everything in a city that is beyond its capacity. Money is not the answer nor is technology; quality of human life is what defines a city.,5
483,2016,Growth needs to pay for itself.,3
484,2016,HAVE ALL PARTS OF TOWN BE IN THE YARD WASTE RECYCLING PROGRAM.,6
485,2016,HAVE MAIN ROADS CLEANED UP AND FIC 360 TRAFFIC,10
486,2016,Have permits for new commercial build outs be processed faster.,6
487,2016,"HAVE SCHOOLS ELEMENTARY, JUNIOR HIGH AND HIGH SCHOOL GROW A GARDEN ON EACH CAMPUS, TEACH HOW TO DO",7
488,2016,"HAVEN'T BEEN T LIBRARIES LATELY (GRAD SCHOOL, WORK) BUT THEY ARE VERY IMPORTANT ESPECIALLY TO CHILDREN",10
489,2016,"Having access to affording housing for people who don't fall into the lower income bracket, but also can't afford to buy a house",9
490,2016,Help all Austin people not just certain areas,2
491,2016,"help city of Austin workers find happiness :) they always seem so unhappy when I call for bill questions, service, etc.",5
492,2016,"Help our public schools, please.",3
493,2016,HELP THE TRAFFIC FLOW ON BROODIE AND MANCHACA.,8
494,2016,HIGH HIGHLY EXCESSIBLE UTILITY RATES,5
495,2016,High speed local transit & trolleys,10
496,2016,HIGH TAX HIGH ELECTRIC AND WINTER RATES.,10
497,2016,HIGHWAY SYSTEM THRU CITY IS TERRIBLE,8
498,2016,Hire more police.,3
499,2016,"Hire more water/road repair crews so I wouldn't have to dodge the hole in my driveway, or worry about the manhole cover sinking and breaking the just repaired eater lines.",6
500,2016,I believe he is doing a fine job. Attention is being given to the problems of a rapidly growing urban city and I hope he remains mayor as long as is legally possible!,9
501,2016,"Holy cow, City of Austin Utilities (water, sewer, garbage) is *awful*!  Super high bills, no transparency in the metering of water, charge me for every scrap of garbage that doesn't fit in the can, terrible customer service, bad web site, etc.  I am routinely astonished at how high my monthly bill is, and how little I get for it.  My neighbors in a nearby development are in a MUD, and get much better service for way less money.",6
502,2016,Homeless population,4
503,2016,HOMELESS ROAMING NEIGHBORHOODS  INTOXICATED  WORRYSOME,2
504,2016,HOMELESS SITUATION NEEDS TO BE ADDRESSED IN THE DOWNTOWN AREA,3
505,2016,HOUSING AFFORDABILITY NEEDS TO BE TOP PRIORITY OR AUSTIN WILL LOSE ALL THE PEOPLE WHO HAVE CALLED IT HOME FOR GENERATIONS,4
506,2016,Housing and help for the homeless,9
507,2016,HOUSING IS TOO EXPENSIVE. PEOPLE ARE BEING MOVING OUT OF THE CITY.,9
508,2016,HOUSING PRICES ARE OUT OF CONTROL.,4
509,2016,How  we charged for lights and how the meter isn't read just itemized,4
510,2016,I ABSOLUTE`LY HATE BEING FORCED TO PAY MULTIPLE CUSTOMER FEES ON MY CITY OF AUSTIN UTILITY BILLS,7
511,2016,"I am all for adding businesses to the Austin area, but we need a better public transit system and easier access to the city with bikes.",5
512,2016,I am always so sad to see the residents at RBJ living as the forgotten and thrown away. There are so many people who need a cheap place to live and there aren't enough places for low income and fired income people.,3
513,2016,I AM AN OKLAHOMA BUT HAD GOOD LIFE IN AUSTIN 91 YRS OLD,1
514,2016,I wish Austin would make the Climate Protection Plan more conspicuous.,2
515,2016,"I am frustrated that there is still no new high school in southwest Austin despite the overwhelming need for one. AISD enrollment is down in some areas but not in southwest Austin. Why no investment (which has already been paid and voted for by the way) in anything other than a Magnet School? Shame on you. A bait and switch tactic that has left me not wanting to approve ANY bond issue. I simply feel that the council cater to some in Austin, but definitely not all and definitely NOT those of us in southwest Austin.",8
516,2016,"I am furious and exhausted with the mopac improvement plan. My neighborhood has been subjected to 2+ years of noise, dirt, filthy side walks, overgrown common areas, rude drivers, etc. I am an active athletic 60 year old female that can not even get to the park with my dog for fear of being run over, stepping on glass, caught in wires and other construction material, and eyed by construction workers. I feel afraid in my own home due to so many workers around watching my comings and goings. Additionally, I can't get anywhere in a reasonable amount of time and spend hours wasted away in traffic. This was a poorly planned project and to subject Mopac homeowners to this for 2+ years is appalling, especially given the taxes I pay for my little tiny house. I am a single mom,  RN of 40 years that raised two children in Austin. Thank goodness they are grown and do not live here to see the mess.  I have recently obtained my master's in nursing and am now a Nurse Practitioner. I will be moving to Haiti to work as a missionary and plan to keep my house for a while longer but if Austin does not improve the traffic situation and clean up around Mopac, I will leave and move to be with my children. I have been living in Austin off/on my entire life as my mother and father met here and my grandparents retired here; I am sad to see what Austin has become.",9
517,2016,"I am glad affordable housing is on the Mayor's radar. But the old neighborhoods of East Austin are rapidly being demolished and replaced with monolithic boxes that don't reflect the character of the neighborhood. We are working with the Historic Landmark Office. But, the process is too slow to remedy the current situation. We need some emergency help!",1
518,2016,I AM REAL SICK OF NOT HAVING A CHOICE OF ELECTRIC COMPANY. DO NOT WANT CITY PROVIDE UTILTIES,10
519,2016,I AM SAD THAT THE GREAT MUSIC VENUES ARE BEING RUN OUT OF DOWNTOWN.,1
520,2016,I AM SAD TO SEE THE CHARACTER AND QUALITY OF LIFE CHANGE SO DRASTICALLY AS WE GROW AND NOT ALWAYS FOR THE BETTER,5
521,2016,"I am sure employees themselves are not different that most people, however, I was OVER-BILLED for several YEARS by a COA accident - hundreds of dollars and city policy was to only refund 1/3 to 1/2 of that. THAT was unethical. There's no statute of limitations if I owe the city MONEY!!",10
522,2016,"I am very concerned with highway and pedestrian safety.  As the city grows and traffic becomes more congested the speed limits need to be reduced.  Pedestrian and traffic fatalities are a terrible tragedy and can be reduced by facing up to the reality of congestion and need to reduce speeds over 35 miles per hour on city streets.  Pedestrians are at great risk, particularly children, and unrealistic speed limits reflect an Austin that no longer exists.  Related is the need to educate everyone on the changing congestion situation and how we must all deal with it.  Bicycles only add to the need to adjust speed to actual and real conditions to save lives and reduce injuries.",10
523,2016,"I am very displeased with the way the City handled negotiations with Uber and Lyft.  Public transportation has always been problematic here.  Taxis are few, unresponsive, unreliable and expensive.  I live only 5 miles from downtown, yet I rarely participate in local events due to transportation issues (taxis, parking, etc.) and the many tourists that  overtake our City on most weekends.  Ride-sharing changed that.  It was safe, affordable and a great option for a resident who might want to catch a band and have drinks....no drinking  and driving.  I will not vote for the council member in my district and would encourage others to get out and vote to avoid re-election of the current council.",10
524,2016,I APPRECIATE THE WALNUT CREEK HIKE AND BIKE TRAIL THAT HS BEEN BUILT IN MY NEIGHBORHOOD. IT IS BEING USED BY HUNDREDS OF PEOPLE EACH DAY,7
525,2016,I love my city!,5
526,2016,"I believe the ""GROVE"" development review is slanted to get it approved and is ignoring the facts of traffic patterns that have been stated by the city engineers. Shame on you. I want the GROVE to go forward, but you better plan it right before construction begins or it will be a mess!",10
527,2016,"I can no longer afford to live in Austin due to the high property taxes--look for, find and eliminate tax dollar waste! Start with Austin Energy.",4
528,2016,"I can't afford to buy a home in the neighborhood I desire due to ridiculous pricing for a ""regular"" house. We aren't talking Westlake here. I'm tired of more people moving here every day because it's so ""cool"" to be in Austin. I feel confined to my condo (again can't afford a house) because the thought of venturing out into this traffic and crowd nightmare is so stressful and overwhelming. The only reason I'm still here is because I work at a state job and I have 15-years to go before I can retire. That day can't come fast enough. The schools are yucky unless you can afford to live in a neighborhood with $500k plus homes.  My parents in their 60s feel the same. I grew up here so I should know what has happened to this once lovely place. I'm a single mom who doesn't receive any public assistance of any kind (nor do I want to). I feel like I'm in a weird income class. Seems like everyone here is super rich or on assistance.",7
529,2016,"I completely depend on Public Transportation, but I am unable to get from point A to B due to a lack of bus and train schedule.  This past weekend I had a job opportunity on Saturday, but there was no transit to get me there in a timely fashion.",6
530,2016,I dislike and disagree with open carry.,5
531,2016,"I DISLIKE I-35 AND MOPAC, I TRY TO AVOID THEM BECAUSE OF TRAFFIC",1
532,2016,I enjoy living in Austin and I hope the city continues being a safe city.,7
533,2016,I fear for minorities interacting with police and know as a lawyer that people without means don't get a fair shake in our court system.,4
534,2016,"I FEEL MY NEIGHBORHOOD IS IGNORED IN TERMS OF TRANSPORTATION ENHANCEMENT PLANNING, HARRIS RIDGE",7
535,2016,"I growth is so great for us, why does our property tax keep increasing?",5
536,2016,"I HAD EXTREMELY HIGH WATER BILL (ACCORDING TO THEM IT WAS ENOUGH WATER TO FILL A POOL)L.FIRST IT TOOK WEEKS TO TALK TO SOMEONE, WHEN I DID I WAS ASSUMED QUALITY & NO WRONG FROM THEM. I WAS THREATENED W/SERVICE CUT OFF",7
537,2016,"I have a general dissatisfaction with the direction in which general transit projects have gone. There seems to be a tendency within the city to compromise on these projects where the end result doesn't solve the original problem and still costs the city a large sum of money. Cases in point: The light rail system was built on 1960s technology (to save money) and didn't extend to the airport (to save money) and doesn't have parking lots near many of the stops (to save money) and is therefore useless to 90% of the people living in Austin while costing everyone in the city money. Further, the mopac extension of ONE lane (a toll lane) will do almost nothing to alleviate traffic while causing years of traffic delays. Further, for many of the lower income people who moved further from our city's center due to housing costs the variable priced toll could negate an hour or two of work in an eight hour work day which could make the toll lane prohibitively expensive. 
-you know... I doubt the mayor or anyone in his office will read this but you asked.",7
538,2016,"I have an older home and I am afraid of code enforcement, I can't get any work done because it could trigger a cascade of other expensive and randomly assigned repairs depending on the mood of the compliance officers.",7
539,2016,I HAVE COME TO BELIEVE AUSTIN IS A PLACE WHERE YOUNG AND WELL.,8
540,2016,"I have lived here for over fifty years. I feel that the quality of life in Austin has declined significantly, especially in the past ten years. If my health permitted, I would not live here anymore.
The things that made Austin a special place though live have been eroded to the point of being almost non-existent at the present time , and I do not believe it possible to bring them back.
Alas the Austin, place I loved, no longer exists.",5
541,2016,I HAVE LIVED IN MANY COUNTRIES IN THE WORLD. I CHOSE TO RETIRE IN AUSTIN.,10
542,2016,I live in District 6 and Don Zimmerman does not adequately represent me.  I do not agree with him at all.,6
543,2016,"I live in fear of hitting a bicycle. But I don't think giving them more lanes and rights is the answer. Sadly, streets are and never will be safe for bicyclists. We have to either outlaw them completely or create true off-street bikeways, and make them ride on sidewalks. Providing more bike lanes and dashed lanes is adding to the problem because drivers have no idea what the rules are, and neither do bicycles. Suddenly, tons of strange dotted lines have appeared at intersections and few people know what the hell to do. I'd really like to see more public transit and no bikes on streets. I know I sound like an ultra-conservative, but I'm actually ultra-liberal. It's just that we have to drive cars in this society, and something drastic needs to happen about bikes.",7
544,2016,"I live in the Villages a new senior community on E Ben White Blvd. I am grateful for a nice place to live that I can afford. The Staff are wonderful and hard working and are trying to make the best environment  for seniors. Just to let you know-- when I moved in I made arrangements to have my utilities transferred on June 27. The electric was transferred with no problem. The Gas company did not transfer until 5 days later and I was charged 10 dollars per day by the complex for a total of 50 dollars. That is a lot of money on a fixed income. When I called the gas company  I was told that even though everyone is important that my gas was already turned on so the others were done first. Is this done to everyone? Not a good way to do business when there is no other choice. I love Austin and choose to live here but now that I am ageing it is getting more difficult to live here. Thanks for you time and attention.
Dianna Nannen
7000 E Ben White Blvd. # 4111
Austin 78741",3
545,2016,"I live on s.s retirement, do city of Austin give some discount on utility bills ?",5
546,2016,I LOVE LIVING IN AUSTIN,2
547,2016,I wish it didn't cost so much to keep living in the city and working downtown!,5
548,2016,"I love this city, but as a single person, I feel like I'll be pushed out of the city soon due to home/rental prices. Even when I made $45,000 as a teacher (I make less now), I wouldn't ever be able to own a home or eventually keep up with rent prices.",3
549,2016,I really wish that city planning would find a way to improve traffic flow.,5
550,2016,"I recently had plumbing issues. I called 311 and within an hour a crew of workers showed up & assessed the problem, & returned the next day to install a clean out of the easement. I was extremely impressed with the response time & professionalism of the workers! The equipment they had to efficiently complete the job",9
551,2016,I support those living near the Grove at Shoal Creek. Too bad this land could not be a park! I am against the Austin Parks Charrette & removing any trees. Am concerned about many old water pipes breaking & just being patched.,10
552,2016,"I suspect this is not isolated solely to Austin, however, it seems the growth has outpaced our available resources - water and roads. It may not be popular, but I believe we need some serious research into sustainable population levels for the area, and ways to dissuade overpopulation.",1
553,2016,I thank the City of Austin Police for their protection. Your job is hard...it always has been but we are going through tough times. Please know you are supported.,7
554,2016,"I think allowing Uber and Lyft to leave Austin is irresponsible.  It was a program that many people were using to access restaurants and bars which significantly increased safety on our roads and many people were finding it better for transportation than owning a car, which reduced traffic downtown, provided significant convenience to Austin visitors and made our downtown much more available to Austin residents.",10
555,2016,I think property taxes are too high for people living a long time in one neighborhood.,10
556,2016,"I think some of the grass along the side walks in my neighborhood and the grass along Mickeny Falls parkway should be better maintained. There are some sidewalks that are unusable. And the grass is so high it is difficult to see on oncoming traffic.
Thank you",2
557,2016,"I THINK THE 3 MAIN PROBLEMS I SEE WITH AUSTIN ARE TRAFFIC, AFFORDABILITY AND MOSQUITOS, EVERYTHING ELSE IS GOOD",8
558,2016,"I think the biggest issue in the city is the falling African American population.  A large part of this problem is the lack of affordable housing in the city and the gentrification of east Austin.  The city also must find a way to attract middle class African American families and young professionals to the city.  When I think of Austin compared to Houston, my hometown, the one thing that stands out as a negative is the overall lack of diversity in the city itself.  This isn't an easy issue to tackle, but I have confidence given the overall superb job done by the city, that we can find away to address it and make major improvements.  This question should be on the tip of all the city staff's tongues... How can we make Austin a desirable city for people of all ethnicities?",7
559,2016,"I think transportation is going to be a driving force for mobility, business, and recreation for years to come.",3
560,2016,I THINK WE NEED TO REMEMBER WE ARE THE LEADER OF  HOUSING AND TRANSPORTATION THINKING OUTSIDE OF THE BOX IN TEXAS AND THE USA AND ACT ACCORDINGLY.,5
561,2016,I think you're doing a great job! The traffic is to heavy and the property tax is to high but what are you going to do in a booming economy? Figure out this ride share thing and I'll be pretty happy.,1
562,2016,I want the cops to stop using deadly force on all races . All Lives Matter .,1
563,2016,"I want Uber/Lyft. I can't care about finger printing, I care about how I get home after I've been out drinking. Austin cabs are terrible. T.E.R.R.I.B.L.E",2
564,2016,"I was being harassed at work and I called the police to make a report, waited to hear back from someone like I was told, I then got a letter 3-4 weeks later saying they were dropping the case because I never called them back but I was still waiting on them to call me. I then created a 2nd report, got the same letter 2 weeks later. It took my boss calling for me to even get a real person on the phone. I felt like I was unimportant to this detective and he had ""better things to deal with"" even though I was being terrorized. I am still upset by the way my case was handled, and that it took nearly a year to get resolved all because no one would acknowledge my police reports.",5
565,2016,"I was born here, grew up here, and currently live/work here.  That all will change when my property taxes go beyond what I can afford in the next few years.  Tax breaks are a joke when they knock off ~$20 and increase ten times that amount year to year.  I do not have kids, nor do I plan to have them- and yet the majority of my tax money is sent to public schools which I feel disconnected with as a non-parent.  In addition to being priced out by property tax increases, the cost of energy is absolutely atrocious.  Without competition for the Austin Energy monopoly, AE stifles market forces allowing for better prices.  I live with a roommate, who works for a grocery store (Central Market) near full time hours and can't afford a basic efficiency apartment on their paycheck.  How are people in the service industry expected to have a decent quality of life in this town if they can't afford it?  TLDR: Austin is becoming too expensive- don't know what you can do to help, but anything is appreciated.",2
566,2016,I wish rent was a bit more affordable.,3
567,2016,I wish the City of Austin would take action to regulate the large number of panhandlers at street intersections. It gives the city a poor image. Could these people be directed to appropriate services for people in need?,9
568,2016,Improve bus service (more frequent) & provide more bike paths that are not adjacent to traffic or shared with parked cars.,9
569,2016,IMPROVE CITY MAINTENANCE AND CLEANLINESS OF ROADS AND STREETS.,10
570,2016,Improve development services,6
571,2016,"I work downtown and do not feel safe walking around because of the large and growing homeless population. We need a coordinated effort by many agencies to find housing, training, rehab, healthcare and work for our homeless. It looks like a war zone driving by the shelters on Neches with people and trash everywhere and it is not safe for citizens to walk around the downtown area. They sleep in our gated property and sit right outside our office on the curb daily. Also, the traffic in Austin is ridiculous and the lack of public transportation needs improvements.",6
572,2016,"I would encourage the mayor to support a policy shift within APD, from a use of force model to one of de-escalation.",1
573,2016,I WOULD LIKE TO HAVE AUSTIN PETS A LIVE A BETTER SHELTER.,5
574,2016,I would like to lead a none a day program pick up 1 piece of litter per day for all of Austin,10
575,2016,I would like to see realistic solutions for transportation issues in Austin - solutions with a potential of making it possible for large densities of people to move about the city safety and easily - like light rail and right sharing - have not been developed in viable ways to allow for sustainable and affordable growth in central Austin.,4
576,2016,I would like to see the trails at the parks have lighting at night so that people could feel safe walking the trail.,5
577,2016,"I would like you to focus on service provision to existing City of Austin residents and stop promoting the city to out of state ""potential residents"". The city's traffic patterns should show us that we are full!",10
578,2016,I WOULD LOVE IF YOU WOULD PICK UP MORE THAN 1 TRASH CAN OF TRASH AND PICK UP CARDBOARD BOXES WHETHER FILLED OR UNFILLED,1
579,2016,I would love to see additional sand volleyball court at Zilker park or at least the current courts taken care of with new sand but doubling the amount of courts would be great.,3
580,2016,I would love to see more of a focus on quality education.,6
581,2016,I would request more police patrol in neighborhoods.,1
582,2016,"I would share with the Mayor that I love this city and it has become home to me, and while there is always room for improvement, it is a wonderful place to live!",3
583,2016,"I would terminate everybody that has been associated with traffic planning, CAMPO, ""Smart Planning."" The Metropolitan Transportation org, etc. and start over with traffic and highway planning.  The same fools have run this for the last 40 years and no (zero) progress has been made.  Austin needs drastic measures and these fools are still running around looking at the same fictitious bicycle study thinking 3% of Austinites ride their bikes to work.  That number is more like 3 thousands of a percentage point.  There should be an immediate moratorium placed on all bicycle lane construction that results in a reduction in  the number of driving lanes for cars.  Capital Metro has the biggest flop in the country on its rail program per Forbes Magazine.  The train is in the wrong location and is a huge waste of money serving a very limited few.  MoPac and IH 35 are polluting parking lots for most of the day....always congested!  Finds some Ex-Bob Bullock employees.....they let get it done!!!  You could put mannequins in the seats of these current boards and departments and get about the same results!",10
584,2016,I35 does not have enough lanes to support the traffic which causes the access roads to back up and makes life miserable when commuting.,2
585,2016,"I-35 problem overall, also enforcing a safer community in low income areas or areas of bad reputation like crime.",4
586,2016,IF IT'S NOT BROKE DON'T FIX IT. QUIT TRYING TO ADOPT EVERY SUGGESTION.,5
587,2016,"IF POLICE/FIRE/EMS PENSIONS BECOME LESS THAN 95% FUNDED OR MORE THAN X% OF CITY BUDGET, THE CURRENT CONTRACT VOIDS. WE SHOULD BE INNOVATE IN OUR EFFICIENCY OF THERE SERVICE",9
588,2016,If the train traveled to more locations there would be more people on the train and less traffic.,6
589,2016,"I'm a senior.  I notice there is only one question that even remotely relates to seniors.  I also notice that there are only 3 senior activity centers for the whole of Austin...none of which is near where I live.  I participate in several programs/classes at the Connelley-Guerrero Sr. Center, and drive 25-30 min to do so.  I whish the City would pay at least a little attention to senior citizen recreation needs.  For those of us who are seniors, the FREE activities are important.  Please consider our needs when you plan for the future of Austin as we pay taxes too.  Thank you.",4
590,2016,I'm concerned about police treatment in Austin of our citizens of color - I worry about their safety and hope our officers are trained to protect all of us.,10
591,2016,I'm concerned that young people cannot afford to rent apartments in Austin.,8
592,2016,"I'M NOT PASSIONATE ABOUT ENVIRONMENTAL ISSUES,BUT I THINK IF WE ARE GOING TO BAN PLASTIC BAGS. A SMALL BENEFIT TO THE ENVIRONMENT IN MY OPINION.",6
593,2016,"I'm pretty content with my living situation and the city; however, the cost of living continues to increase at an astounding rate. Rent shouldn't increase by a couple hundred dollars each year.",6
594,2016,I'm very confused why our city budget is significantly larger than Houston and Dallas and yet we have a much smaller population.  There is little logic in why we have to pay fees for Barton Springs and Deep Eddy.,4
595,2016,IMMIGRATION STATUS.,1
596,2016,Impose heavy taxes on home buyers who are not residents of Austin. Stop selling Austin land to California investors.,9
597,2016,Improve affordable housing/living.  Soon there will be nothing left that made Austin awesome. Sickening and wrought from greed.,10
598,2016,Improve Austin's traffic!,1
599,2016,improve bicycle routes and safety,9
600,2016,"IMPROVE FAILING INFRASTRUCTURE POT HOLES IN ROADS, DECREASE TRAFFIC TOLL ROADS ARE NOT THE ANSWER, PLANT MORE TREES",1
601,2016,Improve our roads!,8
602,2016,IMPROVE ROADS AND REDUCE TRAFFIC FLOW.,7
603,2016,IMPROVE ROADS! COORDINATE USE OF THEM BETTER WITH BUSES.,10
604,2016,"Improve the auto circulation. Kill all toll projects (return existing to public) and install a proper loop system. Increase lanes on Mopac, 183, 620, 360, and I-35. It's really that simple.",6
605,2016,"Improve the bus system, both in frequency and coverage.",9
606,2016,IMPROVE THE CONGESTION,6
607,2016,IMPROVE THE COST OF LIVING IN AUSTIN.,8
608,2016,Improve the inspection and application process for building and home remodel.,10
609,2016,IMPROVE THE TRAFFIC ON MOPAC!,8
610,2016,IMPROVE TRAFFIC,2
611,2016,Improve traffic and control overzealous police and get Lyft/Uber back!!,8
612,2016,"Improve traffic conditions, especially on IH35",3
613,2016,IMPROVE TRAFFIC CONGESTION.,5
614,2016,Improve traffic flow.,8
615,2016,"Improve traffic or people will leave for outlying areas and remove/reduce you tax base. Traffic is the worst thing of living in Austin. Please stop thinking Austin has to have an event every weekend. ACL, South by Southwest and the racetrack are ruining quality of life here. Hotel room prices are outrageous on weekends.",8
616,2016,Improve traffic please!,4
617,2016,"IMPROVE TRAFFIC, ADDRESS MONOPOLY OF CITY UTILITIES",10
618,2016,Improve traffic.,3
619,2016,"Improvement of overall safety in the city.
Less growth, recognize the roots.",8
620,2016,Improvement on traffic problem.,1
621,2016,"It is time for the city of Austin to spend more time focused on infrastructure and supporting those that work in emergency services i.e. Police and fire. I am sick and tired of poor light sequencing, leaking water lines, leaking waste water lines, and in adequate  Storm water drains, etc... Just a thought.... the city of Austin should be required to meet the rigorous requirements placed on individuals and businesses.",10
622,2016,"In 2014 you told us we as a city were at a tipping-point...
Here's where we are missing the mark on affordability:
-Our property tax base grows as a result of more housing for an increasing population
-The growing base provides the city with a larger pool of money to run the city
-The city increases spending to account for the larger pool
We offer incentives to companies to relocate to Austin. They bring more jobs and more people to Austin. Our tax base expands, but the average resident does not get a slice of that pie. Instead, we pay more and more. To be sure, it is nice that our property values increase, but we are not seeing the benefits of 'our share' being a smaller slice of a growing pie. The pie grows and somehow the costs of the cut for the average guy goes up anyway.
Tell me again how we are further away from the tipping point today, instead of being closer to it?",1
623,2016,"In many ways, the city is failing to meet the increasing demands on it's infrastructure due to the growth of the city, especially transportation in the city - roads, public transportation, bicycling, networks/quality, etc.",7
624,2016,"IN MY OPINION STAFF MEMBERS WHO DEAL WITH DEVELOPMENT,PLANNING AND PERMIT ISSUES SHOULD BE REQUIRED TO LIVE IN THE CITY OF AUSTIN.",5
625,2016,In the five years that I have lived in Austin I have seen a huge increase in the number of residential developments being built in my neighborhood.  Infrastructure has not kept up with this development.,8
626,2016,In the past 15 years my commute to downtown has gone from 35 minutes to 60-90 minutes. The community has grown but our infrastructure has not.,6
627,2016,"In this city, it is criminal to take motor vehicle lanes out of service in order to create bike lanes.  You should be ashamed.  As a road cyclist, I am embarrassed for Austin when I see cars stopped at a red light and backed up to the next intersection, i.e. Kramer Lane between Metric and Braker.",7
628,2016,Increase affordable family friendly housing (2 or more brims) in family friendly walk able neighborhoods near public transportation & bike trails & parks so people are less dependent on car travel,9
629,2016,INCREASE POLICE FORCE.,5
630,2016,"Increase roads/lane, capacity.",10
631,2016,INCREASE SOCIAL SECURITY FOR ELDERLY.,2
632,2016,"Increase the recycle program collection to weekly instead of biweekly.  Also, start life guard certification program earlier in the year instead of just prior to summer beginning!",10
633,2016,"Increasing public transportation effect. MORE BUSES! Routes between Round Rock and Austin, Cedar Park and Austin......",6
634,2016,Infrastructure & growth,4
635,2016,Infrastructure and traffic flow,8
636,2016,Infrastructure can't support rapid growth. Slow growth!,7
637,2016,"infrastructure improvements needed to happen at least a decade ago, and gentrification is a real issue that is killing our city.",5
638,2016,Innovative management of city growth with emphasis on quality of life for ALL.,1
